iter	Passed	Remaining
863	13660	17961
864	13679	17948
865	13694	17933
866	13710	17916
867	13725	17900
868	13742	17885
869	13758	17869
870	13773	17853
871	13789	17837
872	13805	17821
873	13820	17805
874	13835	17788
875	13850	17771
876	13865	17755
877	13883	17741
878	13900	17727
879	13916	17711
880	13931	17695
881	13946	17678
882	13965	17666
883	13980	17648
884	13996	17633
885	14011	17617
886	14027	17601
887	14043	17586
888	14059	17570
889	14075	17555
890	14092	17540
891	14109	17526
892	14126	17511
893	14141	17494
894	14157	17479
895	14174	17465
896	14190	17449
897	14206	17433
898	14222	17418
899	14238	17402
900	14254	17386
901	14269	17370
902	14284	17353
903	14299	17336
904	14315	17321
905	14331	17304
906	14346	17288
907	14363	17273
908	14377	17256
909	14392	17239
910	14406	17220
911	14419	17202
912	14431	17182
913	14445	17163
914	14458	17144
915	14472	17126
916	14486	17109
917	14501	17091
918	14517	17076
919	14533	17060
920	14548	17044
921	14564	17028
922	14579	17011
923	14601	17003
924	14615	16985
925	14631	16969
926	14647	16954
927	14661	16936
928	14677	16920
929	14692	16904
930	14709	16889
931	14726	16875
932	14742	16860
933	14757	16842
934	14856	16921
935	14888	16924
936	14906	16911
937	14923	16896
938	14939	16880
939	14956	16866
940	14972	16850
941	14988	16834
942	15007	16821
943	15023	16805
944	15038	16788
945	15053	16771
946	15071	16758
947	15087	16742
948	15102	16725
949	15117	16709
950	15133	16693
951	15151	16679
952	15167	16663
953	15184	16648
